SampleName,Phase_PSF,SampleNr,Accession,Domestication,Cat_treatment,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,GSL_leaf_analyis,C_N_Determination,Leave_samples_left_over_after_GSL_analysis,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_samples_left_over_after_GSL_analysis,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Gluconasturtiin ,L_Neoglucobrassicin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,L_N_content,L_C_content,L_C_N_ratio,L_Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,Root_Weight,Note_RootBiomass
C030,CP,30,CD,Cultivated,Mb,,2,10,1,2,10,4,2,4,224,5,1,,,0,,0,1,,0,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,1.9474,,5,5,,,,
C031,CP,31,CD,Cultivated,Mb,,2,11,2,3,11,5,3,1,249,5,1,,,1,,0,0,,0,0,,,,,,,,,,,,9.9,0.8,0.76,0.04,0,0,0.76,0,0,0.03,0,0.01,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2.3484,,5,5,,,,
C032,CP,32,CD,Cultivated,Mb,,2,12,2,3,12,5,6,3,287,5,1,,,1,,0,0,,0,0,,,,,,,,,,,,9.1,1.7,1.51,0.19,0,0,1.51,0,0,0.19,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,3.4965,,5,4,,,,
C033,CP,33,CD,Cultivated,Mb,,2,13,2,3,13,5,3,4,300,5,1,,,0,,1,0,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,4.0785,,5,4,,,,
C034,CP,34,CD,Cultivated,Mb,,2,14,2,3,14,6,6,1,333,5,1,,,0,,1,0,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,1.1224,,5,5,,,,
C035,CP,35,CD,Cultivated,Mb,,2,15,2,3,15,6,1,3,339,5,1,,,0,,1,1,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,4.6165,,5,4,,,,
C036,CP,36,CD,Cultivated,Mb,,2,16,2,4,16,7,5,1,377,5,1,,,0,,0,1,,1,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,1.34,1.26,0.07,0.17,0,1.05,0,0.04,0.03,0.04,0,0,NA,NA,NA,NA,,,,,,1.8144,,5,5,,,,
C037,CP,37,CD,Cultivated,Mb,,2,17,2,4,17,7,1,2,386,5,1,,,0,,0,1,,1,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.54,0.14,0.37,0.02,0.01,0.02,0,0.09,0.08,0.21,0.08,0.03,NA,NA,NA,NA,,,,,,1.434666667,,5,3,,,,
C038,CP,38,CD,Cultivated,Mb,,2,18,2,4,18,7,4,3,423,5,1,,,0,,0,1,,0,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2.002,,5,5,,,,
C039,CP,39,CD,Cultivated,Mb,,2,19,2,4,19,8,1,4,436,5,1,,,0,,0,1,,0,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,3.297,,5,1,,,,
