nr,Treatment,color,Block,7-days,13-days,16-days,18-days,ln_7-days,ln_13-days,ln_16-days,ln_18-days,GrowthRate,ln_GrowthRate,Cat_location_day-18,,7,14,16,18
54,Strain 3,oranje,3,4.49,95.8,213.5,547.9,1.501852702,4.562262685,5.363636833,6.306092789,0.04183,2.31853,Pot edge,,,,,
55,Strain 3,oranje,3,6.386,121.6,240.2,539.3,1.854108094,4.80073697,5.48147191,6.290272002,0.03839,2.44955,On soil,,,,,
61,WCS417,crème,1,4.902,77.8,256.3,386.5,1.589643285,4.354141431,5.546348633,5.957131868,0.03118,2.31990,Pot edge,,,,,
62,WCS417,crème,1,6.794,153.3,429.6,799.8,1.91603987,5.032396786,6.062854543,6.684361696,0.01946,2.18797,Pot edge,,,,,
63,WCS417,crème,1,5.664,89.1,249.1,498.1,1.734130356,4.489759334,5.517854422,6.21080086,0.03371,2.41211,Leaf,,,,,
64,WCS417,crème,1,6.6,132.4,290.5,783.7,1.887069649,4.885827644,5.671603576,6.664026294,0.03090,2.36595,Pot edge,,,,,
65,WCS417,crème,1,7.405,130,107.6,77.6,2.002155448,4.86753445,4.678420648,4.351567427,0.06707,2.84036,Stick_Net,,,,,
66,WCS417,crème,2,3.894,74.1,233.5,366.2,1.359436907,4.305415532,5.453182077,5.903179632,0.03464,2.23365,Stick_Net,,,,,
67,WCS417,crème,2,8.621,220.7,452.8,801.8,2.154201087,5.396804313,6.115450527,6.6868592,0.02008,2.23733,Pot edge,,,,,
68,WCS417,crème,2,8.133,171.9,381.7,721.2,2.095929859,5.146912912,5.94463496,6.580916491,0.02342,2.32620,On soil,,,,,
69,WCS417,crème,2,5.906,111.7,254.7,565.5,1.775968783,4.715816706,5.540086382,6.337710296,0.03491,2.38837,On soil,,,,,
70,WCS417,crème,2,7.002,88.1,232.9,468,1.946195823,4.478472533,5.450609177,6.148468296,0.03679,2.60764,On soil,,,,,
71,WCS417,crème,3,6.715,125,210.4,479.7,1.90434383,4.828313737,5.349010481,6.173160909,0.04511,2.53843,In soil,,,,,
72,WCS417,crème,3,7.147,73.7,265.7,393.5,1.966692688,4.300002799,5.582367853,5.975081068,0.02938,2.55130,On soil,,,,,
73,WCS417,crème,3,6.829,144.9,404.9,769.6,1.92117825,4.976043849,6.003640123,6.645870899,0.02068,2.22444,On soil,,,,,
74,WCS417,crème,3,6.874,97.1,272.2,572.4,1.927746178,4.575741375,5.60653709,6.349838048,0.03086,2.48551,In soil,,,,,
75,WCS417,crème,3,9.4,115,204.5,510.6,2.240709689,4.744932128,5.320567975,6.235586505,0.04673,2.88411,In soil,,,,,
81,Heat-killed,paars,1,3.513,88.4,,,1.256470373,4.48187197,,,,,,,,,,
82,Heat-killed,paars,1,4.219,78.2,263.1,578.7,1.439598133,4.359269648,5.572534188,6.360784209,0.01547,2.21333,On soil,,,,,
83,Heat-killed,paars,1,7.854,145.1,444.1,754.5,2.061022956,4.97742316,6.096049762,6.626055278,0.01266,2.34253,Leaf,,,,,
84,Heat-killed,paars,1,10.073,127.2,270.5,688.2,2.309858577,4.845760651,5.600272098,6.534079493,0.01331,2.63906,In soil,,,,,
85,Heat-killed,paars,1,7.384,149.7,367.1,831.9,1.999315497,5.008633291,5.905634291,6.723712241,0.01116,2.32085,Leaf,,,,,
86,Heat-killed,paars,2,7.942,143.1,335.2,628,2.072165133,4.963543687,5.814727369,6.442540166,0.01570,2.47628,Leaf,,,,,
87,Heat-killed,paars,2,4.222,100.3,232.2,458.9,1.440308949,4.608165695,5.447599069,6.128832321,0.02123,2.30693,On soil,,,,,
88,Heat-killed,paars,2,7.316,147.6,262.3,680.7,1.990063731,4.994505912,5.569488887,6.52312168,0.01374,2.44279,On soil,,,,,
89,Heat-killed,paars,2,9.848,149.8,368.4,686.5,2.287268389,5.009301071,5.909169304,6.531606225,0.01426,2.55543,On soil,,,,,
90,Heat-killed,paars,2,5.084,94.2,257.9,579.3,1.626098353,4.545420182,5.552571913,6.361820478,0.01581,2.31351,On soil,,,,,
91,Heat-killed,paars,3,6.751,134.4,318.9,549.7,1.909690642,4.900820428,5.764877574,6.309372675,0.01821,2.43502,In soil,,,,,
92,Heat-killed,paars,3,7.304,99,,610,1.988422143,4.59511985,,6.413458957,0.01472,2.49967,In soil,,,,,
93,Heat-killed,paars,3,4.729,60.7,210.1,240.2,1.553713764,4.105943698,5.347583608,5.48147191,0.03782,2.60062,Leaf,,,,,
94,Heat-killed,paars,3,7.366,162.1,373.5,767.7,1.996874818,5.088213429,5.922918005,6.643399032,0.01257,2.33922,Stick_Net,,,,,
95,Heat-killed,paars,3,5.523,86,221.1,540.9,1.708921191,4.454347296,5.398615088,6.293234419,0.01667,2.41076,Pot edge,,,,,
101,CTRL,wit,1,6.506,88.5,262,424.6,1.872724828,4.483002552,5.568344504,6.051147549,0.02279,2.55748,On soil,,,,,
102,CTRL,wit,1,5.831,162.8,368.3,815.9,1.763188512,5.092522454,5.908897823,6.704291798,0.01160,2.20278,On soil,,,,,
103,CTRL,wit,1,7.226,162.6,342,678.1,1.977685633,5.091293197,5.834810737,6.51929477,0.01461,2.38372,On soil,,,,,
104,CTRL,wit,1,5.554,125.3,235,557.2,1.714518389,4.830710862,5.459585514,6.322924242,0.01716,2.38233,On soil,,,,,
105,CTRL,wit,1,4.471,90.5,229.8,572.2,1.497612097,4.505349851,5.437209365,6.349488581,0.01570,2.27303,On soil,,,,,
106,CTRL,wit,2,4.969,81.7,202.7,427.5,1.603218613,4.403054002,5.311727053,6.057954288,0.02214,2.45636,On soil,,,,,
107,CTRL,wit,2,5.429,150.7,307.4,576,1.691754955,5.015291106,5.728149831,6.356107661,0.01756,2.29647,leaf,,,,,
108,CTRL,wit,2,6.2,93.7,250.2,535.5,1.824549292,4.540098189,5.522260598,6.28320089,0.01740,2.45649,Leaf,,,,,
109,CTRL,wit,2,6.671,107.1,240.8,337.1,1.897769774,4.673762977,5.483966713,5.820379622,0.03079,2.67458,On soil,,,,,
110,CTRL,wit,2,5.406,86.7,215.7,549.4,1.687509448,4.462453884,5.373888553,6.308826774,0.01629,2.39770,Leaf,,,,,
111,CTRL,wit,3,5.841,145.5,226,604.3,1.764902015,4.980176087,5.420534999,6.404070763,0.01564,2.37506,On soil,,,,,
112,CTRL,wit,3,4.971,112.5,234.6,593.2,1.603621027,4.722953222,5.457881936,6.38553161,0.01551,2.30738,Leaf,,,,,
113,CTRL,wit,3,4.998,82.3,233.7,433.3,1.609037832,4.410371108,5.454038242,6.071430329,0.02202,2.42158,Leaf,,,,,
114,CTRL,wit,3,7.626,108.6,260.6,608.7,2.031563461,4.687671407,5.562986665,6.411325535,0.01518,2.52276,Pot edge,,,,,
115,CTRL,wit,3,8.621,184.4,373.4,613.3,2.154201087,5.217107311,5.922650231,6.418854213,0.01703,2.49051,On soil,,,,,
