SampleName,SampleNr,Accession,Domestication,Treatment,TreatmentNr,PlantNr,Greenhouse,Table,block_n,Rows,Cols,Plots,Induction.Nr.CP,Induction.Nr.FP,Block_n,Rhizosphere_soil_analysis,GSL_Root_analysis,Root_samples_left_over_after_GSL_analysis,GSL_leaf_analyis,Leave_samples_left_over_after_GSL_analysis,notes_CP,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Neoglucobrassicin,L_Gluconasturtiin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival
C061,61,DD,Wild,Mb,4,1,1,1,1,1,3,3,8,2,1,0,0,0,1,0,,7.3,24.88,0.64,24.23,0.54,0,0.1,0,0,22.84,0,1.39,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159285714,,8,7
C062,62,DD,Wild,Mb,4,2,1,1,2,3,2,34,8,2,2,0,0,0,1,0,,8.5,16.77,0.99,15.78,0.55,0,0.44,0,0,14.22,0,1.56,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574,,8,6
C063,63,DD,Wild,Mb,4,3,1,1,3,6,1,69,8,2,3,0,0,0,1,0,,15,3.93,2.39,1.53,1.26,0,0.89,0.24,0,1.53,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550833333,,8,6
C064,64,DD,Wild,Mb,4,4,1,1,4,4,2,86,8,2,4,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54725,,8,8
C065,65,DD,Wild,Mb,4,5,1,1,5,1,2,98,8,2,5,1,1,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,5.8,2.43,2.47,1.74,0.06,0.24,0.03,0.36,0.37,1.3,0.8,0.89,NA,NA,NA,NA,,0.476,cat lost during collection,8,5
C066,66,DD,Wild,Mb,4,6,1,2,6,5,2,138,8,2,6,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,1.34,1.06,0.06,0.54,0.02,0.35,0,0.15,0.03,0.03,0,0.22,NA,NA,NA,NA,,0.6855,cat lost during collection,8,7
C067,67,DD,Wild,Mb,4,7,1,2,7,4,1,157,8,2,7,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,4.1,3.25,0.49,3.04,0.03,0.02,0,0.16,0.07,0.11,0.31,0.36,NA,NA,NA,NA,,0.249428571,,8,7
C068,68,DD,Wild,Mb,4,8,1,2,8,1,4,172,8,2,8,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721142857,,8,7
C069,69,DD,Wild,Mb,4,9,1,2,9,5,4,212,8,2,9,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,,8,1
C070,70,DD,Wild,Mb,4,10,1,2,10,5,1,233,8,2,10,0,0,0,0,0,does not exist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
C071,71,DD,Wild,Mb,4,11,2,3,11,3,4,252,8,2,11,0,0,0,1,0,,11,16.56,10.77,5.8,8.89,0,0.09,1.79,0,5.28,0,0.52,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25725,,8,8
C072,72,DD,Wild,Mb,4,12,2,3,12,2,1,269,8,2,12,0,0,0,1,0,,9.9,0.41,0.09,0.33,0,0,0.09,0,0,0.33,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311666667,,8,3
C073,73,DD,Wild,Mb,4,13,2,3,13,4,3,303,8,2,13,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78525,,8,8
C074,74,DD,Wild,Mb,4,14,2,3,14,2,3,319,8,2,14,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3358,,8,5
C075,75,DD,Wild,Mb,4,15,2,3,15,6,4,360,8,2,15,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.343285714,,8,7
C076,76,DD,Wild,Mb,4,16,2,4,16,3,1,369,8,2,16,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,1.21,0.27,0.62,0,0,0,0.01,0.26,0.1,0.18,0.34,0.32,NA,NA,NA,NA,,0.463625,,8,8
C077,77,DD,Wild,Mb,4,17,2,4,17,4,4,400,8,2,17,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,6.8,3.48,2.86,2.94,0.09,0.19,0.02,0.24,0.24,2.34,0.28,0.46,NA,NA,NA,NA,,0.622,,8,6
C078,78,DD,Wild,Mb,4,18,2,4,18,2,2,414,8,2,18,1,0,1,0,0,Rhizosphere sample may be bulk soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649,,8,1
C079,79,DD,Wild,Mb,4,19,2,4,19,3,3,443,8,2,19,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.095166667,,8,6
