SampleName,SampleNr,Accession,Domestication,Treatment,TreatmentNr,PlantNr,Greenhouse,Table,block_n,Rows,Cols,Plots,Induction.Nr.CP,Induction.Nr.FP,Block_n,Rhizosphere_soil_analysis,GSL_Root_analysis,Root_samples_left_over_after_GSL_analysis,GSL_leaf_analyis,Leave_samples_left_over_after_GSL_analysis,notes_CP,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Neoglucobrassicin,L_Gluconasturtiin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival
C111,111,GO1,Cultivated,Mb,6,11,2,3,11,5,1,257,4,1,11,0,0,0,1,0,,6,1.93,0,1.93,0,0,0,0,0,1.93,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.526666667,,4,3
C112,112,GO1,Cultivated,Mb,6,12,2,3,12,4,3,279,4,1,12,0,0,0,1,0,,5.2,0.53,0.49,0.04,0,0,0.49,0,0,0.04,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9955,,4,4
C113,113,GO1,Cultivated,Mb,6,13,2,3,13,6,4,312,4,1,13,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9745,,4,4
C114,114,GO1,Cultivated,Mb,6,14,2,3,14,1,3,315,4,1,14,0,0,0,0,0,plant was missing during sampling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
C115,115,GO1,Cultivated,Mb,6,15,2,3,15,6,1,357,4,1,15,1,0,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.697,,4,4
C116,116,GO1,Cultivated,Mb,6,16,2,4,16,5,4,380,4,1,16,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6.22,0,6.22,0,0,0,0,0,0.28,5.92,0.02,0,NA,NA,NA,NA,,7.209333333,,4,3
C117,117,GO1,Cultivated,Mb,6,17,2,4,17,4,2,398,4,1,17,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,1.43,0,1.43,0,0,0,0,0,0.09,1.32,0.02,0,NA,NA,NA,NA,,6.925,,4,4
C118,118,GO1,Cultivated,Mb,6,18,2,4,18,6,2,430,4,1,18,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.07,0,0.07,0,0,0,0,0,0.02,0.02,0.03,0,NA,NA,NA,NA,,NA,NA,4,0
C119,119,GO1,Cultivated,Mb,6,19,2,4,19,2,1,437,4,1,19,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
C120,120,GO1,Cultivated,Mb,6,20,2,4,20,3,4,468,4,1,20,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.139,,4,3
CE33,E33,GO1,Cultivated,Mb,6,100,1,2,10,3,2,226,4,1,10,0,0,1,0,0,not sample 110 but E33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.521,small plant,2,2
C121,121,HE,Wild,Co,7,1,1,1,1,1,1,1,0,2,1,0,0,0,1,0,,7.5,2.1,2.08,0.01,0,0,2.08,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C122,122,HE,Wild,Co,7,2,1,1,2,5,2,42,0,2,2,0,0,0,1,0,,10.7,0.31,0.3,0.01,0,0,0.3,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C123,123,HE,Wild,Co,7,3,1,1,3,1,3,51,0,2,3,0,0,0,1,0,,11.9,1.96,1.92,0.03,0.53,0,1.05,0.34,0,0.03,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C124,124,HE,Wild,Co,7,4,1,1,4,5,1,89,0,2,4,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C125,125,HE,Wild,Co,7,5,1,1,5,2,1,101,0,2,5,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C126,126,HE,Wild,Co,7,6,1,2,6,6,1,141,0,2,6,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C127,127,HE,Wild,Co,7,7,1,2,7,6,2,166,0,2,7,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C128,128,HE,Wild,Co,7,8,1,2,8,3,3,179,0,2,8,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,3.59,2.29,1.2,1.74,0.04,0.35,0.01,0.15,0.3,0.73,0.17,0.1,NA,NA,NA,NA,,NA,NA,NA,NA
C129,129,HE,Wild,Co,7,9,1,2,9,3,4,204,0,2,9,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,1.58,1.15,0.32,0.78,0.04,0.22,0.02,0.09,0.05,0.18,0.09,0.12,NA,NA,NA,NA,,NA,NA,NA,NA
C130,130,HE,Wild,Co,7,10,1,2,10,4,4,232,0,2,10,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.78,1.81,1.8,1.18,0.05,0.3,0.04,0.24,0.26,1.03,0.51,0.17,NA,NA,NA,NA,,NA,NA,NA,NA
C131,131,HE,Wild,Co,7,11,2,3,11,2,3,247,0,2,11,0,0,0,1,0,,4,1.33,1.32,0.02,0,0,1.32,0,0,0.01,0,0.01,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C132,132,HE,Wild,Co,7,12,2,3,12,6,4,288,0,2,12,0,0,0,1,0,Stick was pierced trough leaf,5.6,1.06,1.04,0.01,0,0,1.04,0,0,0.01,0,0,0,NA,NA,NA,NA,Stick was pierced trough leaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C133,133,HE,Wild,Co,7,13,2,3,13,3,1,297,0,2,13,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C134,134,HE,Wild,Co,7,14,2,3,14,2,2,318,0,2,14,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C135,135,HE,Wild,Co,7,15,2,3,15,4,1,349,0,2,15,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C136,136,HE,Wild,Co,7,16,2,4,16,6,3,383,0,2,16,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C137,137,HE,Wild,Co,7,17,2,4,17,5,4,404,0,2,17,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,0.32,0.29,0.02,0.21,0.02,0,0,0.06,0.01,0.01,0,0.01,NA,NA,NA,NA,,NA,NA,NA,NA
C138,138,HE,Wild,Co,7,18,2,4,18,1,2,410,0,2,18,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C139,139,HE,Wild,Co,7,19,2,4,19,3,2,442,0,2,19,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,2.37,1.68,0.23,1.4,0.12,0.03,0.11,0.02,0.06,0.06,0.11,0.46,NA,NA,NA,NA,,NA,NA,NA,NA
C140,140,HE,Wild,Co,7,20,2,4,20,4,3,471,0,2,20,1,0,1,0,0,This plant was originally E40 and replaced at rhizosphere collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C141,141,HE,Wild,Mb,8,1,1,1,1,4,4,16,6,2,1,0,0,0,1,0,,11.2,4.25,0.68,3.57,0.12,0,0.56,0,0,2.75,0,0.82,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.223666667,"1 fell, 1 extra",7,6
C142,142,HE,Wild,Mb,8,2,1,1,2,1,2,26,6,2,2,0,0,0,1,0,,6.9,2.96,0.37,2.59,0.26,0,0.06,0.05,0,1.11,0,1.48,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.089333333,,6,3
C143,143,HE,Wild,Mb,8,3,1,1,3,3,4,60,6,2,3,0,0,0,1,0,,9.1,2.9,1.84,1.06,1.31,0,0.53,0,0,0.84,0,0.22,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.729833333,,6,6
C144,144,HE,Wild,Mb,8,4,1,1,4,6,3,95,6,2,4,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8462,,6,5
C145,145,HE,Wild,Mb,8,5,1,1,5,2,3,103,6,2,5,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953833333,,6,6
C146,146,HE,Wild,Mb,8,6,1,2,6,3,1,129,6,2,6,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.309333333,,6,6
C147,147,HE,Wild,Mb,8,7,1,2,7,6,1,165,6,2,7,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,10.83,4.8,5.12,2.33,0.18,1.1,0.05,1.14,0.65,3.36,1.11,0.91,NA,NA,NA,NA,,1.2485,,6,2
C148,148,HE,Wild,Mb,8,8,1,2,8,1,1,169,6,2,8,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0355,,6,6
C149,149,HE,Wild,Mb,8,9,1,2,9,6,2,214,6,2,9,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.62,2.42,2.81,1.8,0.1,0.2,0,0.32,0.22,1.39,1.2,0.39,NA,NA,NA,NA,,2.196333333,,6,6
C150,150,HE,Wild,Mb,8,10,1,2,10,6,4,240,6,2,10,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,0.93,0.52,0.28,0.28,0.02,0.09,0,0.13,0.08,0.11,0.09,0.12,NA,NA,NA,NA,,1.2075,,6,4
C151,151,HE,Wild,Mb,8,11,2,3,11,5,2,258,6,2,11,0,0,0,1,0,,5.5,1.92,1.14,0.79,0,0,1.14,0,0,0.33,0,0.46,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.468333333,,6,6
C152,152,HE,Wild,Mb,8,12,2,3,12,2,4,272,6,2,12,0,0,0,1,0,,7.5,2.84,1.82,1.02,0.28,0,1.54,0,0,0.57,0,0.45,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0284,,6,5
C153,153,HE,Wild,Mb,8,13,2,3,13,4,1,301,6,2,13,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.184,,6,4
C154,154,HE,Wild,Mb,8,14,2,3,14,5,3,331,6,2,14,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845833333,,6,6
C155,155,HE,Wild,Mb,8,15,2,3,15,5,1,353,6,2,15,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.769,,6,4
C156,156,HE,Wild,Mb,8,16,2,4,16,2,2,366,6,2,16,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.382333333,,6,6
C157,157,HE,Wild,Mb,8,17,2,4,17,3,3,395,6,2,17,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61725,,6,4
C158,158,HE,Wild,Mb,8,18,2,4,18,1,4,412,6,2,18,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28725,,6,4
C159,159,HE,Wild,Mb,8,19,2,4,19,4,2,446,6,2,19,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,0.59,0.44,0.12,0.35,0,0.06,0,0.03,0.09,0.03,0,0.03,NA,NA,NA,NA,,0.8964,,6,5
C160,160,HE,Wild,Mb,8,20,2,4,20,1,3,459,6,2,20,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.51,0.83,0.38,0.58,0.03,0.06,0.03,0.13,0.07,0.22,0.09,0.29,NA,NA,NA,NA,,0.668833333,,6,6
CE46,E46,HE,Wild,Mb,8,NA,2,4,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2075,,6,4
C161,161,HM,Cultivated,Co,9,1,1,1,1,3,2,10,0,1,1,0,0,0,1,0,,5.6,1.11,0.82,0.3,0,0,0.82,0,0,0.29,0,0.01,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C162,162,HM,Cultivated,Co,9,2,1,1,2,2,4,32,0,1,2,0,0,0,1,0,,9.3,0.89,0.88,0.02,0,0,0.88,0,0,0.01,0,0.01,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C163,163,HM,Cultivated,Co,9,3,1,1,3,4,3,63,0,1,3,0,0,0,0,0,does not exist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C164,164,HM,Cultivated,Co,9,4,1,1,4,6,4,96,0,1,4,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C165,165,HM,Cultivated,Co,9,5,1,1,5,1,3,99,0,1,5,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C166,166,HM,Cultivated,Co,9,6,1,2,6,4,2,134,0,1,6,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,0.67,0.28,0.36,0.07,0.02,0.11,0,0.08,0.09,0.27,0,0.04,NA,NA,NA,NA,,NA,NA,NA,NA
C167,167,HM,Cultivated,Co,9,7,1,2,7,1,4,148,0,1,7,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C168,168,HM,Cultivated,Co,9,8,1,2,8,2,3,175,0,1,8,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C169,169,HM,Cultivated,Co,9,9,1,2,9,4,1,205,0,1,9,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,2.32,0.38,1.95,0.05,0.03,0.2,0,0.1,0.2,1.75,0,0,NA,NA,NA,NA,,NA,NA,NA,NA
C170,170,HM,Cultivated,Co,9,10,1,2,10,6,1,237,0,1,10,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C171,171,HM,Cultivated,Co,9,11,2,3,11,2,2,246,0,1,11,0,0,0,1,0,,4,1.95,1.92,0.02,0,0,1.92,0,0,0.02,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C172,172,HM,Cultivated,Co,9,12,2,3,12,4,4,280,0,1,12,0,0,0,1,0,,8.7,0.48,0.4,0.09,0,0,0.4,0,0,0.09,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C173,173,HM,Cultivated,Co,9,13,2,3,13,5,4,308,0,1,13,0,0,0,1,0,,8.2,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C174,174,HM,Cultivated,Co,9,14,2,3,14,3,4,324,0,1,14,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C175,175,HM,Cultivated,Co,9,15,2,3,15,5,2,354,0,1,15,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C176,176,HM,Cultivated,Co,9,16,2,4,16,6,2,382,0,1,16,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,0.39,0.15,0.22,0.03,0.01,0.07,0,0.04,0.07,0.15,0,0.01,NA,NA,NA,NA,,NA,NA,NA,NA
C177,177,HM,Cultivated,Co,9,17,2,4,17,1,1,385,0,1,17,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C178,178,HM,Cultivated,Co,9,18,2,4,18,2,1,413,0,1,18,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C179,179,HM,Cultivated,Co,9,19,2,4,19,3,1,441,0,1,19,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,0.57,0.19,0.36,0.05,0.01,0.09,0,0.04,0.25,0.11,0,0.02,NA,NA,NA,NA,,NA,NA,NA,NA
C180,180,HM,Cultivated,Co,9,20,2,4,20,5,3,475,0,1,20,1,1,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,0.35,0.14,0.21,0.04,0.01,0.06,0,0.03,0.05,0.16,0,0.01,NA,NA,NA,NA,,NA,NA,NA,NA
C181,181,HM,Cultivated,Mb,10,1,1,1,1,1,2,2,2,1,1,0,0,0,1,0,,13.5,0.12,0.1,0.02,0,0,0.1,0,0,0.02,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.555,,2,1
C182,182,HM,Cultivated,Mb,10,2,1,1,2,6,3,47,2,1,2,0,0,0,1,0,,10.1,0.26,0.22,0.05,0,0,0.22,0,0,0.04,0,0.01,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1765,,2,2
C183,183,HM,Cultivated,Mb,10,3,1,1,3,2,3,55,2,1,3,0,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.445,,2,2
C184,184,HM,Cultivated,Mb,10,4,1,1,4,5,4,92,2,1,4,0,0,0,0,0,does not exist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4905,,2,2
C185,185,HM,Cultivated,Mb,10,5,1,1,5,3,2,106,2,1,5,1,0,0,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6885,,2,2
C186,186,HM,Cultivated,Mb,10,6,1,2,6,4,1,133,2,1,6,1,0,1,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7935,,2,2
