SampleName,SampleNr,Accession,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,Leaf_Disk_GSL_Sample,C_N_Determination,Leftover_GSL_samples,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note_FP,GSL_Leaf_weight_mg,Total_GSL,Total_Aliphatic,Total_Indol,Progoitrin,Glucoraphanin,Sinigrin,Gluconapin,Glucoerucin,Glucobrassicin,Methoxy_glucobrassicin,Gluconasturtiin ,Neoglucobrassicin,X3MSOP,X5MSOP,X4.Pent,X4OHI3M,Note_GSL,N_content,C_content,C_N_ratio,Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,LnRR_Survival_PerBatch,LnRR,LnRR_Surv_Dom_PerBatch,LnRR_Surv_Dom,Root_Weight,Note_RootBiomass,Domestication
F281,281,KT,Co,15,1,1,1,1,1,6,2,22,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.305,,2,2,0,1,,,,,0.1179,,Cultivated
F301,301,KT,Mb,16,1,1,1,1,1,6,4,24,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6355,,2,2,0,1,1.222222222,1.157894737,0.909370289,0.81729561,0.1373,,Cultivated
F401,401,MC,Co,21,1,1,1,1,1,5,4,20,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.619,,2,2,0,1,,,,,0.1516,,Cultivated
F421,421,MC,Mb,22,1,1,1,1,1,5,1,17,4,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1725,,2,2,0,1,1.428571429,1.235294118,0.909370289,0.81729561,0.1128,,Cultivated
F321,321,OH,Co,17,1,1,1,1,1,6,3,23,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.344,,2,1,1,0.5,,,,,,,Wild
F341,341,OH,Mb,18,1,1,1,1,1,4,2,14,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Switched around with E115 before herbivore infestation because plant was very small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.835,,2,1,1,0.5,0.916666667,0.88,0.57360203,0.544463983,,,Wild
F361,361,RI,Co,19,1,1,1,1,1,2,3,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Plant had (nearly) no damage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,,,Cultivated
F371,371,RI,Co,19,11,1,1,1,1,5,5,NA,0,2,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,,,Cultivated
F372,372,RI,Co,19,12,1,1,1,1,2,5,NA,0,2,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,,,Cultivated
F381,381,RI,Mb,20,1,1,1,1,1,2,4,8,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.469,,2,1,1,0.5,0.913043478,0.755555556,0.554677506,0.489918939,0.2675,,Cultivated
